twitter,domain,name,type
DisneyStore,disneystore.com,Disney Store,brand
SamsungBrasil,samsung.com.br,Samsung Brasil,brand
Maroc_Telecom,iam.ma,Maroc Telecom,brand
Bloomberg,bloomberg.com,Bloomberg LP,brand
VW,vw.com,Volkswagen USA,brand
googlestudents,googleforstudents.blogspot.com,Google Students,brand
thaimarketing,thaimarketing.in.th,ThaiMarketing,brand
muji_net,muji.net,無印良品,brand
hmmexico,hm.com,H&M Mexico,brand
TIM_Official,tim.it,TIM Official,brand
sptrans_,sptrans.com.br,São Paulo Transporte,brand
rollsroycecars,rolls-roycemotorcars.com,Rolls-RoyceMotorCars,brand
WesternUnion,westernunion.com,Western Union,brand
VirginAtlantic,virgin-atlantic.com,Virgin Atlantic,brand
OfficialTEPCO,tepco.co.jp,東京電力　株式会社,brand
MovistarChile,movistar.cl,Movistar Chile,brand
Gidi_Traffic,my.notjustok.com,GIDITRAFFIC,brand
BNI46,bni.co.id,BNI,brand
BA_USA,bit.ly,British Airways N.A.,brand
3DBillionaire,billionaire.tv,BILLIONAIRE PR GIRL,brand
FlyFirefly,fireflyz.com.my,Firefly Airlines,brand
MasterCard,mastercard.us,MasterCard ,brand
EAMobile,ea.com,EA Mobile,brand
BobbiBrown,bobbibrowncosmetics.com,BobbiBrown Cosmetics,brand
Adobe,blogs.adobe.com,Adobe,brand
Airbnb,airbnb.com,Airbnb,brand
garbarino,garbarino.com,Garbarino,brand
boohoo,boohoo.com,boohoo.com,brand
hotmail,hotmail.com,Hotmail,brand
FordMustang,ford.com,Ford Mustang,brand
Saco_KSA,catalog.saco-ksa.com,SacoOffers عروض ساكو,brand
PepsiVEN,pepsi.com,Pepsi Venezuela,brand
AlRajhiBank,alrajhibank.com.sa,مصرف الراجحي,brand
citynetcojp,citynet.co.jp,CITYNET シティネット,brand
AdSense,google.com,Google AdSense,brand
CocaColaCo,coca-colacompany.com,The Coca-Cola Co.,brand
ToyotaALJ,toyota.com.sa,Toyota Saudi Arabia,brand
TexasHumor,txhumor.com,Texas Humor,brand
BarneysNY,barneys.com,Barneys New York,brand
AAA_Travel,NewsRoom.AAA.com,AAATravel,brand
Samsung_Saudi,samsung.com,SamsungSaudi,brand
AdWordsRussia,ru.adwords-community.com,AdWords Россия,brand
BALENCIAGA,balenciaga.com,Balenciaga,brand
Cosmopolitan_LV,cosmopolitanlasvegas.com,The Cosmopolitan,brand
vagas,vagas.com.br,VAGAS.com.br,brand
CervPresidente,presidente.com.do,Cerveza Presidente,brand
Iberia,iberia.com,Iberia,brand
GoldmanSachs,goldmansachs.com,Goldman Sachs,brand
BankofAmerica,go.bofa.com,Bank of America,brand
Photojojo,photojojo.com,Photojojo ♥s you!,brand
VitaminShoppe,vitaminshoppe.com,The Vitamin Shoppe,brand
fravegaonline,fravega.com,Frávega,brand
iTunesPodcasts,itunes.com,iTunes Podcasts,brand
GrandIndo,grand-indonesia.com,Grand Indonesia,brand
saks,saks.com,Saks Fifth Avenue,brand
nprbooks,npr.org,NPR Books,brand
MovistarArg,movistar.com.ar,Movistar Argentina,brand
NewportBSR,newportbeachsideresort.com,Newport Beachside ,brand
Moz,moz.com,Moz,brand
GSStore,gsstore.org,GSSTORE,brand
kfcarabia,kfc-arabia.com,KFC Arabia,brand
benchtm,benchtm.com,BENCH/,brand
DarrenKavinoky,DarrenKavinoky.com,Darren Kavinoky,brand
usnikefootball,nikefootball.com,Nike Football,brand
gameloft,gameloft.com,Gameloft,brand
OoredooDZ,ooredoo.dz,Ooredoo,brand
BofA_News,go.bofa.com,Bank of America,brand
LocatelVzla,locatel.com.ve,Locatel,brand
jobvinesa,jobvine.co.za,jobvine.co.za,brand
GRINDTOGRAPHY,itunes.apple.com,GRINDTOGRAPHY,brand
MarriottIntl,marriott.com,"Marriott Internat'l",brand
FlyAirNZ,airnewzealand.com,Air New Zealand,brand
SamsungMobileSA,samsung.com,Samsung Mobile SA,brand
500Startups,500.co,500 Startups,brand
getbootstrap,getbootstrap.com,Bootstrap,brand
MasterCardVE,mastercard.com,MasterCard Venezuela,brand
torekacom,toreka.com,トレカコム/コレクターズマート/アルテシ,brand
ClaroEcua,claro4glte.com.ec,Claro Ecuador,brand
jcpenney,jcpenney.com,JCPenney,brand
BMWGroup,bmwgroup.com,BMW Group,brand
jimmyjohns,jimmyjohns.com,"Jimmy John's",brand
champssports,thedrop365.com,Champs Sports,brand
panerabread,panerabread.com,Panera Bread,brand
Carrefour_ID,carrefour.co.id,Carrefour Indonesia,brand
ULTA_Beauty,ulta.com,Ulta Beauty,brand
TimHortons,timhortons.com,Tim Hortons,brand
sainsburys,sainsburys.co.uk,"Sainsbury's",brand
Flyasiana,flyasiana.com,아시아나항공AsianaAirlines,brand
LandRover,landrover.com,Land Rover,brand
G2A_com,g2a.com,G2A.com,brand
drpepper,DrPepper.com,Dr Pepper,brand
DivinePromoKing,divineaudiokings.com,Divine Promo Kings,brand
Oracle,oracle.com,Oracle,brand
adidasHoops,adidasbasketball.com,adidas Basketball,brand
Azure,azure.microsoft.com,Microsoft Azure,brand
VisaBR,visa.com.br,Visa Brasil,brand
quederap,QueBravo.es,THE HARD FACE,brand
TrophyBoyShop,andrewchristian.com,Trophy Boy,brand
TargetDeals,tgt.biz,Target Deals,brand
generalelectric,ge.com,General Electric,brand
awscloud,aws.amazon.com,Amazon Web Services,brand
seo77,seo77.co.uk,seo77,brand
AMDRadeon,game.amd.com,AMD Radeon Graphics,brand
feve_natsujikan,natsujikan.jp,フェーヴ雑貨ショップ☆,brand
DICKS,sportsmatter.org,"Dick'sSportingGoods",brand
LAYS,lays.com,"LAY'S",brand
HermanMiller,hermanmiller.com,"Herman Miller, Inc.",brand
Uber,uber.com,Uber,brand
MerrillLynch,,Merrill Lynch,brand
NikeNYC,nike.com,Nike NYC,brand
BlackBerryBantu,id.blackberry.com,BlackBerryBantu,brand
ElderScrolls,elderscrolls.com,The Elder Scrolls,brand
LexusInt,lexus-int.com,Lexus International,brand
ClaroRD,claro.com.do,Claro RD,brand
RebeccaMinkoff,rebeccaminkoff.com,Rebecca Minkoff,brand
DJIGlobal,dji.com,DJI,brand
shapeways,shapeways.com,Shapeways,brand
BHPhotoVideo,bhphotovideo.com,B&H Photo Video,brand
ASQ_Group,sastore.asqgrp.com,#عبدالصمد_القرشي,brand
Capcom_Unity,capcom-unity.com,Capcom-Unity,brand
PlayStationES,playstation.com,PlayStation España,brand
rockstarenergy,rockstarenergy.com,RockstarEnergyDrink,brand
Tigo_GT,tigo.com.gt,Tigo Guatemala,brand
Smashbox,smashbox.com,Smashbox Cosmetics,brand
tjmaxx,tjmaxx.com,T.J.Maxx,brand
toryburch,toryburch.com,Tory Burch,brand
OrangeRD,orange.com.do,Orange Dominicana,brand
ASUS,asus.com,ASUS,brand
nikesb,gonike.me,NIKE SB,brand
DiversityInc,DiversityInc.com,DiversityInc.com,brand
meditel,meditel.ma,méditel,brand
NetflixBrasil,netflix.com,Netflix,brand
DASHBoutique,shopdashonline.com,DASH BOUTIQUE,brand
Shutterstock,shutterstock.com,Shutterstock,brand
SamsungChile,samsung.com,Samsung Chile,brand
plustrafik,plus.com.my,plusline1800880000,brand
NikeUK,gonike.me,Nike UK,brand
jcrew,jcrew.com,J.Crew,brand
BestBuy_Deals,Deals.BestBuy.com,Best Buy Deals,brand
smartfrenworld,smartfren.com,IG: smartfrenworld,brand
BeasiswaGratis,beasiswaindo.com,Beasiswa Gratis,brand
Burberry_Mexico,burberry.com,Burberry Mexico,brand
NIKEiD,nike.com,NIKEiD,brand
Safaricom_Care,safaricom.co.ke,Safaricom ,brand
Tesco,tesco.com,Tesco,brand
BBVAProvincial,provincial.com,BBVA Provincial,brand
obmenik,extav.com,Обмен WebMoney,brand
IKEAUSA,ikea.com,IKEA USA,brand
simPATI,telkomsel.com,simPATI,brand
chloefashion,chloe.com,Chloé,brand
YamahaMotoGP,yamahamotogp.com,Yamaha MotoGP,brand
Missguided,missguided.co.uk,Missguided,brand
subteba,,Estado Subtes BA,brand
Bloomingdales,bloomingdales.com,"Bloomingdale's",brand
riverisland,riverisland.com,River Island,brand
ZainHelpSA,sa.zain.com,عناية المشتركين,brand
HootsuiteMobile,hootsuite.com,Hootsuite Mobile,brand
Ferragamo,ferragamo.com,Salvatore Ferragamo,brand
entel,entel.cl,Entel Chile,brand
ShopOstanding,blog.ostanding.com,Ostanding,brand
MTA,mta.info,MTA,brand
asda,asda.com,Asda,brand
Bershka,bershka.com,Bershka,brand
Mobilink,mobilink.com.pk,Mobilink,brand
evad3rs,evasi0n.com,evad3rs,brand
Wix,wix.com,Wix.com,brand
Garoto,garoto.com.br,Garoto,brand
PlatinumPersia,,PLATINUM,brand
oneplus,oneplus.net,OnePlus,brand
MovistarEC,movistar.com.ec,Movistar Ecuador,brand
turtlebeach,turtlebeach.com,Turtle Beach,brand
DairyQueen,dairyqueen.com,Dairy Queen,brand
king_robota,KingRobota.com,KING ROBOTA,brand
DIFC,difc.ae,DIFC,brand
bahiaprime1,bahiaprime.com.br,Bahia Prime,brand
PayPal,paypal.com,PayPal,brand
oakley,,Oakley,brand
queremoscomer,queremoscomer.com,QUEREMOSCOMER,brand
Footaction,footaction.com,Footaction,brand
Pringles,pringles.com,Pringles,brand
adidasneo,a.did.as,adidas neo,brand
neimanmarcus,neimanmarcus.com,Neiman Marcus,brand
Pemex,pemex.com,Petróleos Mexicanos,brand
Mulberry_Editor,mulberry.com,Mulberry,brand
RealMagicBeats,magicondabeat.com,MAGIC,brand
sprint,sprint.com,Sprint,brand
MAKEUPFOREVERUS,makeupforever.com,MAKE UP FOR EVER,brand
WEGO_press,wego.jp,WEGO,brand
VodafoneIT,vodafone.it,Vodafone it,brand
RockstarSupport,rockstargames.com,Rockstar Support,brand
GoogleAppsDev,developers.google.com,Google Apps Dev,brand
hmespana,hm.com,H&M España,brand
DecathlonES,decathlon.es,Decathlon España,brand
Eastbay,eastbay.com,Eastbay,brand
BMWUSA,bmwusa.com,BMW USA,brand
McDonaldsArabia,McDonaldsArabia.com,"McDonald's Arabia",brand
AirCanada,aircanada.com,Air Canada,brand
Teknosa,teknosa.com,Teknosa,brand
detikTravel,detik.travel,detikTravel,brand
Airbus,airbus.com,Airbus,brand
hcltech,hcltech.com,HCL Technologies,brand
forrester,forrester.com,Forrester Research,brand
XboxMexico,xbox.com.mx,Xbox México,brand
520Promotion,WWW.520PROMOTIONS.COM,520 PROMOTIONS LLC,brand
SABBBank,sabb.com,بنك ساب,brand
AlTasjeel,AlTasjeel.com,التسجيل العربي,brand
wheresale,whereonsale.com,Where On Sale,brand
LANVINofficial,lanvin.com,LANVIN,brand
easyJet,easyjet.com,easyJet,brand
OscarPRGirl,oscardelarenta.com,OscarPRGirl,brand
cocacolafmco,goo.gl,CocaCola FM Colombia,brand
Gatorade,gatorade.com,Gatorade,brand
house_retail,house-retail.co.jp,新築戸建は仲介手数料無料　ハウスリテール,brand
McDonalds_BR,mcdonalds.com.br,"McDonald's Brasil",brand
gofundme,gofundme.com,GoFundMe,brand
NikeStoreJapan,gonike.me,NikeStoreJapan,brand
baffinworldwide,baffin.com,Footwear & Apparel,brand
Expedia,viewfinder.expedia.com,Expedia,brand
AmazonKindle,amazon.com,Kindle,brand
TwitchSupport,help.twitch.tv,Twitch Support,brand
ycombinator,ycombinator.com,Y Combinator,brand
creativecloud,creative.adobe.com,Adobe Creative Cloud,brand
thenorthface,thenorthface.com,The North Face,brand
zozojp,,ZOZOTOWN,brand
LOrealParisUSA,bddy.me,"L'Oréal Paris USA",brand
MarchesaFashion,marchesa.com,Marchesa ,brand
KAI121,kereta-api.co.id,Kereta Api Indonesia,brand
Jollibee,jollibee.com.ph,Jollibee,brand
UNIQLO_JP,uniqlo.com,ユニクロ,brand
EtihadAirways,etihad.com,Etihad Airways,brand
Cheesecake,thecheesecakefactory.com,Cheesecake Factory,brand
nikemexico,nike.com,Nike México,brand
isexton,ncr.com,Ian Sexton,brand
SoftBank,softbank.jp,SoftBank,brand
McDo_PH,mcdonalds.com.ph,McDo Philippines,brand
infomaicih,maicih.co.id,#maicih,brand
PapaJohns,papajohns.com,"Papa John's Pizza",brand
subaru_usa,subaru.com,Subaru,brand
HoeflerCo,typography.com,Hoefler&Co.,brand
HotelesCom,hoteles.com,Hoteles.com Ofertas,brand
adidasCO,adidas.co,adidas Colombia,brand
VerizonNews,news.vzw.com,Verizon News,brand
stonefiregrill,stonefiregrill.com,STONEFIRE Grill,brand
almajed4oud,almajed4oud.com,الماجد للعود,brand
nikewomen,nike.com,Nike Women,brand
SingaporeAir,singaporeair.com,Singapore Airlines,brand
TopTenPercent_,toptenpercent.com,Top Ten Percent,brand
Skittles,skittles.com,Skittles,brand
SonyElectronics,Store.Sony.com,Sony Electronics USA,brand
MGMGrand,mgmgrand.com,MGM Grand Hotel,brand
flynas,flynas.com,flynas طيران ناس,brand
UKStartUp,bit.ly,UKStartUp,brand
GUESS,guess.com,GUESS,brand
TheOfficialSBI,sbi.co.in,State Bank of India,brand
zillow,zillow.com,Zillow,brand
hashtags,hashtags.org,hashtags,brand
Staples,staples.com,Staples US,brand
NikeLab,nike.com,NIKELAB,brand
Cabelas,bit.ly,"Cabela's",brand
OxfordSeguros,oxfordseguros.com.br,Oxford Seguros,brand
insomniacgames,insomniacgames.com,Insomniac Games,brand
nautica,nautica.com,Nautica,brand
FollowWestwood,viviennewestwood.com,Vivienne Westwood,brand
AlbankAldawli,albankaldawli.org,البنك الدولي,brand
grosvenorcasino,grosvenorcasinos.com,Grosvenor Casinos,brand
Tigo_Colombia,compras.tigo.com.co,Tigo Colombia,brand
Samsung_Egypt,samsung.com,Samsung Egypt,brand
jquery,jquery.com,jQuery,brand
Coral,coral.co.uk,Coral,brand
Vengenz1,vengenz.com,Vengeance University,brand
MTNza,mtn.co.za,MTN South Africa,brand
iTunesU,itunes.com,iTunes U,brand
AMD,AMD.com,AMD,brand
VisualStudio,visualstudio.com,Visual Studio,brand
CocaColaCol,cocacola.com.co,Coca-Cola Colombia,brand
Illustrator,bit.ly,Adobe Illustrator,brand
scb_thailand,scb.co.th,SCB Thailand,brand
welovehonda,welovehonda.com,welovehonda,brand
Sah75official,,Shakib Al Hasan,brand
Visa,visa.com,Visa,brand
porn_sex,hotwebcamsites.com,Free Porn,brand
DisneyCruise,disneycruise.com,Disney Cruise Line,brand
VIRGINproduced,virginproduced.com,VIRGIN produced.,brand
TheNetflixLife,,Netflix,brand
KFC_jp,kfc.co.jp,ケンタッキーフライドチキン,brand
IAMFITMISS,FitMiss.com,FITMISS,brand
DeutscheBank,db.com,Deutsche Bank,brand
PlayStationFR,fr.playstation.com,PlayStation France,brand
PandaSaudi,panda.com.sa,Panda بنده,brand
OldNavy,OldNavy.com,Old Navy Official,brand
Qantas,qantas.com.au,Qantas,brand
Shell,shell.com,Shell,brand
AhhPhotography,Ahh-Photography.com,Ahh! Photography,brand
acerID,acerid.com,Acer Indonesia,brand
LandRoverUSA,landroverusa.com,Land Rover USA,brand
sequoia,sequoiacap.com,Sequoia Capital,brand
DietCoke,DietCoke.com,Diet Coke,brand
O2,o2.co.uk,O2 in the UK,brand
StarbucksMex,starbucks.com.mx,Starbucks México,brand
ColcciOficial,colcci.com.br,Colcci,brand
TEDataEgypt,tedata.net,TE Data - تي اي داتا,brand
Alienware,alienware.com,Alienware,brand
Cartier,cartier.com,Cartier,brand
WalmartMexico,walmart.com.mx,Walmart México,brand
cutey,goo.gl,cutey,brand
ElieSaabWorld,eliesaab.com,Elie Saab,brand
Comercio_Center,comerciocenter.net,ComercioCenter,brand
HomeDepot,homedepot.com,The Home Depot,brand
CiscoSecurity,cisco.com,Cisco Security,brand
OthaimMarkets,othaimmarkets.com,أسواق العثيم,brand
simplymeasured,simplymeasured.com,Simply Measured,brand
redbox,redbox.com,Redbox,brand
Beachbody,beachbody.com,Beachbody,brand
KingDivine315,divineaudiokings.com,Divine Promo Kings,brand
igornaming,igorinternational.com,Igor Naming Agency,brand
bliblidotcom,blibli.com,Blibli.com,brand
ZainJo,jo.zain.com,Zain Jordan,brand
MicrosoftHelps,support.microsoft.com,Microsoft Support,brand
Banxico,banxico.org.mx,Banco de México,brand
velhoamigo,projetovelhoamigo.org.br,Projeto Velho Amigo,brand
Garuda_Promo,garuda-indonesia.com,PT Garuda Indonesia,brand
mrvengenharia,mrv.com.br,MRV Engenharia,brand
mandirifiesta,mandirifiestapoin.co.id,mandiri fiesta,brand
Chase,chase.com,Chase,brand
Academy,academy.com,Academy,brand
HardRock,hardrock.com,Hard Rock,brand
amazongames,amazon.com,Amazon Video Games,brand
secludedITaid,secludeditaid.com,Secluded IT Aid,brand
LEGO_Group,LEGO.com,LEGO,brand
OBEY,,OBEY,brand
VodafoneIN,vodafone.in,Vodafone India,brand
Selfridges,goo.gl,Selfridges.com,brand
Volcom,volcom.com,Volcom Stone,brand
ESET,eset.com,ESET,brand
GWRHelp,gwr.com,GWR Help,brand
EA_DICE,dice.se,EA_DICE,brand
SECOM_jp,secom.co.jp,セコム,brand
harleydavidson,h-d.com,Harley-Davidson,brand
ecb,ecb.europa.eu,ECB,brand
hmphilippines,hm.com,H&M Philippines,brand
UbisoftFR,ubi.com,Ubisoft France,brand
azulinhasaereas,voeazul.com.br,Azul Linhas Aéreas,brand
GetCallApp,callapp.com,CallApp,brand
LAN_CL,LAN.com,LAN en Chile,brand
